city_name,citycode,nom_insee,lat_insee,lon_insee,code_dept,code_region,population_insee,surface_km2,densite_pop_km2,revenu_median_uc,taux_sans_voiture,voitures_par_menage,part_65plus,distance_dom_trav_med_km,nb_gares,nb_trajets_total,nb_trajets_moy_arret,nb_trajets_max_arret,nb_lignes_total,premier_depart_matin,dernier_depart_ville,amplitude_moy_h,amplitude_max_h,amplitude_min_h,service_weekend,service_7j_sur_7,dist_gare_min_m,has_gare,accessibilite_ord,dernier_depart_apres_minuit
Savigny-lès-Beaune,21590,Savigny-lès-Beaune,47.0795,4.8042,21,27,1268.0,36.2239,35.00451359461571,26660.0,0.053844844009565525,1.4879735459921444,0.26770923903991384,6.485687704520665,0,0,0.0,0,0,,,,,,False,False,7118.6889994272215,False,0,0
Selongey,21599,Selongey,47.604,5.1984,21,27,2395.0,46.510799999999996,51.49341658281518,23810.0,0.09410779467978085,1.4110740187925717,0.24562229828519921,14.776327131393167,0,0,0.0,0,0,,,,,,False,False,10574.962059330868,False,0,0
Semur-en-Auxois,21603,Semur-en-Auxois,47.494,4.3396,21,27,3986.0,19.165499999999998,207.97787691424696,22040.0,0.20610887896833768,1.0465334634088133,0.2892329727047351,0.0,0,0,0.0,0,0,,,,,,False,False,10727.199287508587,False,0,0
Sennecey-lès-Dijon,21605,Sennecey-lès-Dijon,47.2922,5.1061,21,27,2151.0,3.5189999999999997,611.2531969309464,25280.0,0.04618024178793416,1.5000834476157798,0.19490974647395717,7.1082681518868736,0,0,0.0,0,0,,,,,,False,False,1243.2606792619247,False,0,0
Ladoix-Serrigny,21606,Ladoix-Serrigny,47.0672,4.9156,21,27,1770.0,24.8631,71.18983553941383,26400.0,0.05714790183919235,1.5247765490104792,0.18225194733088448,7.127121341542417,0,0,0.0,0,0,,,,,,False,False,1863.434375252966,False,0,0
Seurre,21607,Seurre,47.0086,5.1551,21,27,2352.0,8.9468,262.8872893101444,20470.0,0.18113953803995783,1.0917288601713608,0.3206757138879439,13.387866909891335,1,970,323.3,530,5,05:32:00,20:55:00,15.02,15.35,14.83,True,True,1387.6679624739736,True,2,0
Sombernon,21611,Sombernon,47.3082,4.7049,21,27,1027.0,13.176400000000001,77.9423818341884,23930.0,0.07751276689663576,1.3823934347685458,0.2195794351626713,21.537191964368112,0,0,0.0,0,0,,,,,,False,False,7749.6540962342115,False,0,0
Talant,21617,Talant,47.3389,4.9959,21,27,11896.0,4.9497,2403.37798250399,23800.0,0.18379421238134735,1.1252103393864439,0.2549986150924128,2.8440585692453744,0,0,0.0,0,0,,,,,,False,False,2889.5610237449528,False,0,0
Tart,21623,Tart,47.1931,5.2174,21,27,1517.0,13.6729,110.94939625097821,25920.0,0.022452504317789293,1.6735751295336787,0.12720156555772993,20.821059893436495,0,0,0.0,0,0,,,,,,False,False,4809.377615545559,False,0,0
Thorey-en-Plaine,21632,Thorey-en-Plaine,47.2164,5.1406,21,27,1176.0,5.765700000000001,203.96482647380193,26240.0,0.025621105106157,1.627177551532888,0.16329843422763626,13.565851283606248,0,0,0.0,0,0,,,,,,False,False,2544.340826199775,False,0,0
Til-Châtel,21638,Til-Châtel,47.5234,5.1772,21,27,1113.0,26.2832,42.346441833566686,25410.0,0.03962540103753825,1.5836348470442003,0.15600224403330493,21.68511471406417,0,0,0.0,0,0,,,,,,False,False,3531.227795562348,False,0,0
Varois-et-Chaignot,21657,Varois-et-Chaignot,47.3558,5.129,21,27,2094.0,10.1462,206.38268514320632,29760.0,0.02810304449648712,1.6135831381733021,0.2790135396518375,7.762520795989492,0,0,0.0,0,0,,,,,,False,False,4034.3064725456834,False,0,0
Velars-sur-Ouche,21661,Velars-sur-Ouche,47.3104,4.9126,21,27,1798.0,12.193399999999999,147.45682090311155,27330.0,0.025193190704234154,1.5751561564156822,0.2520980276547857,9.326779768685427,1,860,286.7,424,9,05:33:00,20:45:00,15.16,15.2,15.08,True,True,2113.693979832059,True,2,0
Venarey-les-Laumes,21663,Venarey-les-Laumes,47.5375,4.447,21,27,2747.0,10.351400000000002,265.3747319203199,20340.0,0.17032967032967034,1.1222527472527473,0.2697606961566352,9.40488837530005,1,2649,1324.5,1356,12,05:00:00,22:38:00,17.3,17.63,16.97,True,True,1324.0128467148845,True,3,0
Villers-les-Pots,21699,Villers-les-Pots,47.2118,5.3489,21,27,1220.0,10.4265,117.0095429914161,24160.0,0.032613429599754974,1.5667083904561643,0.17980877497146433,21.584581480740084,1,8,8.0,8,1,06:45:00,18:37:00,11.87,11.87,11.87,False,False,567.9632707201067,True,1,0
Vitteaux,21710,Vitteaux,47.3986,4.5344,21,27,1054.0,20.831999999999997,50.5952380952381,20930.0,0.1400664757452228,1.205376879245385,0.36288904664495547,5.727176133655208,0,0,0.0,0,0,,,,,,False,False,11109.752794357935,False,0,0
Andel,22002,Andel,48.493,-2.5549,22,53,1180.0,12.3971,95.1835509917642,24820.0,0.035964669441516904,1.5507334452111998,0.18510749316124187,10.03310560799051,0,0,0.0,0,0,,,,,,False,False,4380.049604405491,False,0,0
Bégard,22004,Bégard,48.6365,-3.2921,22,53,4889.0,36.3363,134.54864694534115,22200.0,0.09618356120559146,1.3527589630847032,0.25338783319524216,12.636063385849127,0,0,0.0,0,0,,,,,,False,False,5285.058442207431,False,0,0
Belle-Isle-en-Terre,22005,Belle-Isle-en-Terre,48.538,-3.3793,22,53,1024.0,14.3313,71.45199667859859,20200.0,0.13948919449901767,1.1984282907662083,0.2929194956353055,16.233808734409564,0,0,0.0,0,0,,,,,,False,False,7441.2748582066,False,0,0
Bobital,22008,Bobital,48.4133,-2.098,22,53,1170.0,5.0971,229.54228875242785,24120.0,0.01915997868992866,1.6071280422039116,0.2221766954762651,5.935557425184914,0,0,0.0,0,0,,,,,,False,False,5841.165390342872,False,0,0
Boqueho,22011,Boqueho,48.4666,-2.986,22,53,1054.0,27.5979,38.19131165777107,22580.0,0.05030735783056458,1.5264731510855254,0.15123998158169555,12.059890842464691,0,0,0.0,0,0,,,,,,False,False,7454.51782246621,False,0,0
Bourbriac,22013,Bourbriac,48.4649,-3.1973,22,53,2145.0,73.1533,29.321985474339503,21300.0,0.10233427037308387,1.343935916290712,0.28545971944097503,9.662135166902583,2,901,450.5,475,3,06:28:00,22:39:00,16.18,16.18,16.18,True,True,5829.478124620155,True,2,0
Bourseul,22014,Bourseul,48.4662,-2.2606,22,53,1277.0,22.515300000000003,56.71698800371302,21470.0,0.02471197325031329,1.547418967982022,0.21361611513183001,10.27973008799563,0,0,0.0,0,0,,,,,,False,False,6595.8861264902935,False,0,0
Bréhand,22015,Bréhand,48.3954,-2.5899,22,53,1684.0,25.894000000000002,65.03437089673282,22830.0,0.03897862708149802,1.5337283633843195,0.19036475871871564,11.303882464358793,0,0,0.0,0,0,,,,,,False,False,9500.359495987079,False,0,0
