row_id,city_name,lat_insee,lon_insee,cluster,cluster_nom,niveau_fragilite,has_gare,accessibilite_ord,dist_gare_min_m,nb_trajets_total,nb_lignes_total,amplitude_moy_h,revenu_median_uc,voitures_par_menage,taux_sans_voiture,part_65plus,distance_dom_trav_med_km,population,densite_pop_km2
6900,Breuschwickersheim,48.5779,7.5988,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3855.286693482809,0.0,0.0,,27730.0,1.5293895283636154,0.0487673906218775,0.2338338273079435,11.81774968655519,1344.0,260.955672485098
9564,Breux-Jouy,48.551,2.1601,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1658.1310770577118,0.0,0.0,,27460.0,1.4879225095370932,0.0536392996032191,0.1951066051399095,14.449363293140552,1285.0,269.64075877119353
6681,Briscous,43.46,-1.3274,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4869.570771668735,0.0,0.0,,23940.0,1.5881544999821464,0.0294418765510236,0.1921206305837209,11.124847812968008,2965.0,94.18050257130244
7699,Brison-Saint-Innocent,45.7376,5.8842,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3275.509986837154,0.0,0.0,,30530.0,1.5303405569392263,0.03641778254789,0.3051476516995067,10.892715141996913,2445.0,155.01271167635628
9565,Brières-les-Scellés,48.4646,2.1427,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3293.4040280843524,0.0,0.0,,27170.0,1.576113115107025,0.0371689104213585,0.1761552769503305,16.705238088173044,1186.0,137.464214101093
3634,Brié-et-Angonnes,45.122,5.78,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5025.517570509714,0.0,0.0,,32620.0,1.5955383123181377,0.0368574199806013,0.2459147070546034,7.318702891522887,2497.0,254.63741956537257
5745,Brouckerque,50.9541,2.288,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5674.110417231694,0.0,0.0,,26560.0,1.5834797891036907,0.0386643233743409,0.1753782668500687,8.11399105861541,1452.0,122.04757501891233
6806,Brouilla,42.5759,2.8927,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6264.312123753029,0.0,0.0,,22360.0,1.4513855736695396,0.0562149698513732,0.2185386146816236,11.860252268149097,1572.0,199.09571032334057
7099,Bruebach,47.7027,7.3583,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4039.171274720797,0.0,0.0,,32230.0,1.6063977343359794,0.0497783793006512,0.23787889095976,6.066791785542245,1042.0,148.30418012837848
5748,Bruille-Saint-Amand,50.4639,3.5069,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6605.069512295561,0.0,0.0,,24050.0,1.4887556221889056,0.0674662668665667,0.2161842882457176,10.794990602593984,1698.0,214.7002667947956
5747,Bruille-lez-Marchiennes,50.3547,3.2412,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2564.8793086674464,0.0,0.0,,20840.0,1.44217009458099,0.0753084430357875,0.1576098922553814,10.331394969804013,1340.0,307.37469893336396
7247,Brussieu,45.745,4.5201,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,9675.523863978757,0.0,0.0,,25730.0,1.5235980773499127,0.0523139553164806,0.1122825651007514,15.618729744899314,1382.0,202.78201666862307
195,Bruyères-et-Montbérault,49.5184,3.6698,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6664.8530939727025,0.0,0.0,,23910.0,1.3503156891681145,0.0715545424616316,0.2652281596119661,7.150770497241805,1411.0,121.8901174844506
3245,Brécé,48.1091,-1.4934,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2121.375466283317,0.0,0.0,,24510.0,1.5243815994791048,0.0481295712898252,0.1091351451606677,7.601580838970515,2232.0,308.3298798176544
6329,Brêmes,50.8469,1.956,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5134.353144414556,0.0,0.0,,22470.0,1.490722731430777,0.0597768650426545,0.2301437215967932,13.212929338836888,1324.0,181.4369698381593
7970,Buchy,49.5859,1.3394,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1949.2860522414976,0.0,0.0,,23440.0,1.3232558139534885,0.1023255813953488,0.2484761563284331,22.865392384921137,2815.0,106.83557947390592
